post_id,title,category,score,num_comments,author,collected_at
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,16,3,N/A,2026-04-14 13:02:29.506978
47708457,Rust Threads on the GPU,technology,49,15,N/A,2026-04-14 13:02:32.229871
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,59,15,N/A,2026-04-14 13:02:34.353067
47728970,"Write less code, be more responsible",technology,75,45,N/A,2026-04-14 13:02:35.075783
47753689,Building a CLI for all of Cloudflare,technology,294,98,N/A,2026-04-14 13:02:38.538193
47729046,Air Powered Segment Display? [video],technology,98,11,N/A,2026-04-14 13:02:42.011311
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,124,30,N/A,2026-04-14 13:02:44.033689
47755209,B-trees and database indexes (2024),technology,103,40,N/A,2026-04-14 13:02:48.897101
47750872,Servo is now available on crates.io,technology,447,143,N/A,2026-04-14 13:02:50.297873
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,85,38,N/A,2026-04-14 13:02:50.972527
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,81,24,N/A,2026-04-14 13:02:53.672208
47759292,The AI revolution in math has arrived,technology,81,48,N/A,2026-04-14 13:02:59.158248
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,259,107,N/A,2026-04-14 13:03:01.259079
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,214,121,N/A,2026-04-14 13:03:01.939029
47761616,Sam Altman: Man charged with attempting to murder OpenAI boss,technology,7,0,N/A,2026-04-14 13:03:03.030433
47754179,Claude Code may be burning your limits with invisible tokens,technology,38,5,N/A,2026-04-14 13:03:03.687186
47733217,Exploiting the most prominent AI agent benchmarks,technology,577,139,N/A,2026-04-14 13:03:05.113330
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,396,271,N/A,2026-04-14 13:03:06.486262
47761720,"Microsoft exec suggests AI agents will need to buy licenses, just like employees",technology,6,1,N/A,2026-04-14 13:03:07.856409
47756672,The looming college-enrollment death spiral,technology,102,137,N/A,2026-04-14 13:03:08.536015
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,410,360,N/A,2026-04-14 13:03:18.808558
47758880,"When AI Trading Works, You Won't Hear About It",technology,26,4,N/A,2026-04-14 13:03:19.535516
47760543,Meta spins up AI version of Mark Zuckerberg to engage with employees,technology,12,3,N/A,2026-04-14 13:03:21.544977
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,technology,8,0,N/A,2026-04-14 13:03:22.229953
47755938,Warp,worldnews,6,1,N/A,2026-04-14 13:04:53.475189
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,437,276,N/A,2026-04-14 13:05:17.749631
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,N/A,2026-04-14 13:06:02.052450
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,N/A,2026-04-14 13:06:37.578792
47745230,Sam Altman's home targeted in second attack,worldnews,152,354,N/A,2026-04-14 13:06:43.058098
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,N/A,2026-04-14 13:07:18.134163
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,N/A,2026-04-14 13:07:27.912941
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,N/A,2026-04-14 13:07:50.595567
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,N/A,2026-04-14 13:07:57.455627
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,15,2,N/A,2026-04-14 13:08:14.682717
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,N/A,2026-04-14 13:08:18.768929
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,N/A,2026-04-14 13:08:32.055485
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,61,32,N/A,2026-04-14 13:09:11.998935
47761825,Roblox devs now need a subscription to share their games freely,sports,31,10,N/A,2026-04-14 13:09:21.784363
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,406,223,N/A,2026-04-14 13:09:28.662551
